"filename", "language", "YAML", "Batch", "Python", "Markdown", "XML", "pip requirements", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"c:\JoystickGremlin-develop\gremlin\repeater.py", "Python", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 35, 20, 120
"c:\JoystickGremlin-develop\gremlin\reporting.py", "Python", 0, 0, 549, 0, 0, 0, 0, 0, 0, 0, 80, 196, 825
"c:\JoystickGremlin-develop\gremlin\sendinput.py", "Python", 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 104, 3, 92
"c:\JoystickGremlin-develop\gremlin\shared_state.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 28, 32, 102
"c:\JoystickGremlin-develop\gremlin\signal.py", "Python", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1
"c:\JoystickGremlin-develop\gremlin\singleton_decorator.py", "Python", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"c:\JoystickGremlin-develop\gremlin\sound.py", "Python", 0, 0, 661, 0, 0, 0, 0, 0, 0, 0, 71, 223, 955
"c:\JoystickGremlin-develop\gremlin\spline.py", "Python", 0, 0, -26, 0, 0, 0, 0, 0, 0, 0, 32, -6, 0
"c:\JoystickGremlin-develop\gremlin\tabstate.py", "Python", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 15, 34, 125
"c:\JoystickGremlin-develop\gremlin\threading.py", "Python", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 25, 37, 126
"c:\JoystickGremlin-develop\gremlin\tree.py", "Python", 0, 0, -75, 0, 0, 0, 0, 0, 0, 0, 95, -20, 0
"c:\JoystickGremlin-develop\gremlin\tts.py", "Python", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 26, 22, 106
"c:\JoystickGremlin-develop\gremlin\types.py", "Python", 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 22, 56, 402
"c:\JoystickGremlin-develop\gremlin\ui\axis_calibration.py", "Python", 0, 0, 416, 0, 0, 0, 0, 0, 0, 0, 53, 131, 600
"c:\JoystickGremlin-develop\gremlin\ui\backend.py", "Python", 0, 0, -81, 0, 0, 0, 0, 0, 0, 0, 99, -18, 0
"c:\JoystickGremlin-develop\gremlin\ui\config.py", "Python", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1
"c:\JoystickGremlin-develop\gremlin\ui\deadzone.py", "Python", 0, 0, -38, 0, 0, 0, 0, 0, 0, 0, 29, -5, -14
"c:\JoystickGremlin-develop\gremlin\ui\device.py", "Python", 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, 31, -5, 2
"c:\JoystickGremlin-develop\gremlin\ui\dialogs.py", "Python", 0, 0, 791, 0, 0, 0, 0, 0, 0, 0, 259, 442, 1492
"c:\JoystickGremlin-develop\gremlin\ui\eliding.py", "Python", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 91, 51, 280
"c:\JoystickGremlin-develop\gremlin\ui\input_item.py", "Python", 0, 0, 1465, 0, 0, 0, 0, 0, 0, 0, 480, 572, 2517
"c:\JoystickGremlin-develop\gremlin\ui\input_viewer.py", "Python", 0, 0, 430, 0, 0, 0, 0, 0, 0, 0, 65, 150, 645
"c:\JoystickGremlin-develop\gremlin\ui\joystick_device.py", "Python", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 49, 76, 293
"c:\JoystickGremlin-develop\gremlin\ui\keyboard_device.py", "Python", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 32, 15, 137
"c:\JoystickGremlin-develop\gremlin\ui\merge_axis.py", "Python", 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 28, -5, 2
"c:\JoystickGremlin-develop\gremlin\ui\midi_device.py", "Python", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 44, 36, 199
"c:\JoystickGremlin-develop\gremlin\ui\mode_device.py", "Python", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 40, 26, 183
"c:\JoystickGremlin-develop\gremlin\ui\octavi_device.py", "Python", 0, 0, 720, 0, 0, 0, 0, 0, 0, 0, 70, 180, 970
"c:\JoystickGremlin-develop\gremlin\ui\osc_device.py", "Python", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 566, 71, 800
"c:\JoystickGremlin-develop\gremlin\ui\profile.py", "Python", 0, 0, -54, 0, 0, 0, 0, 0, 0, 0, 50, -4, -8
"c:\JoystickGremlin-develop\gremlin\ui\profile_creator.py", "Python", 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 68, -13, 4
"c:\JoystickGremlin-develop\gremlin\ui\profile_settings.py", "Python", 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 80, 94, 403
